tweet_id,created_at,tweets,location,retweets,favorites,Hashtags,processed_tweet,tweet_sentiment
1581016825977921536,2022-10-14 20:19:19,"Wow wow wow..... #datafestafrica2022 #DFA22 #DataFest22 #datafestafrica @TheOyinbooke @DataFestAfrica 
Thanks for the event
Knowledge impacting👊
Hospitality Top notch👊
Comfortability👊
Career Impacting 👊
I can boldly say I enjoyed my first Data Seminar 👊👊 https://t.co/qbzCTXnoTo",IleIFE Nigeria,0,1,#datafestafrica2022 #dfa22 #datafest22 #datafestafrica,wow wow wow thanks event knowledge impacting hospitality top notch comfortability career impacting boldly say enjoyed first seminar,positive
1581016499736567808,2022-10-14 20:18:02,"To everyone @DataFestAfrica team, who made Day 1 of #DatafestAfrica22 a success, I say a big thanks, Tomorrow is going to be greater 😊😁.

#DFA22 #DFA https://t.co/4O0JO7tpo6",Lagos Nigeria,0,2,#datafestafrica22 #dfa22 #dfa,everyone team made success say big thanks tomorrow going greater,positive
1581015093713989632,2022-10-14 20:12:26,"Day one of #datafestafrica went very well, learned a lot from the speakers about opportunities in data as well as taking advantage of them, I also got to meet my teammate @Kingsley__Andy. We go again tomorrow 🚀. https://t.co/lZPP1wbA2a",No location,1,1,#datafestafrica,went well learned lot speakers opportunities well taking advantage also got meet teammate andy go tomorrow,neutral
1581014533497556992,2022-10-14 20:10:13,"Day 1 of @DataFestAfrica was really amazing and instructive! I learnt so many things and also unlearned some things. 🤗 P.S this lady right here is a big fan 😁😂❤️ Thank you so much @DavidAbu_ and the team for putting this amazing event together, we are blessed indeed💯 https://t.co/AzDxZ8VysI",Lagos Nigeria,1,9,,really amazing instructive learnt many things also unlearned things ps lady right big fan thank much team putting amazing event together blessed indeed,positive
1581012898843090944,2022-10-14 20:03:43,"Gentle reminder

Don't forget to come with big bags tomorrow for your swags.
Don't say I didn't tell you ooo. 😂😂 
See y'all tomorrow

@DataFestAfrica
#datafestafrica2022",Lagos Nigeria,0,1,#datafestafrica2022,gentle reminder dont forget come big bags tomorrow swags dont say didnt tell ooo see yall tomorrow,positive
1581012806610014208,2022-10-14 20:03:21,"We go again tomorrow @DataFestAfrica
#DataFestAfrica22

You people that I didn't see today, we must see tomorrow oh😭😭

That's how I didn't see any post from @vicSomadina today. Were you at the event?",Lagos Nigeria,0,1,#datafestafrica22,go tomorrow people didnt see must see tomorrow oh thats didnt see post event,neutral
1581011974879485953,2022-10-14 20:00:03,I will be visiting my alma mater tomorrow all for @DataFestAfrica  #DFA22 #datafestafrica2022 🔥🔥🔥🔥🔥,Lagos Nigeria,0,0,#dfa22 #datafestafrica2022,visiting alma mater tomorrow,neutral
1581011675095801856,2022-10-14 19:58:51,"#datafestafrica2022 #Datafam 
Today @DataFestAfrica had a FUNAAAB meetup with 2 ppl I haven't really had a conversation with before.. it was very nice 👍 

Day 1 was a bang, trust me Day 2 would choke.. https://t.co/g5Ykd0tqzE",Ogun state,0,6,#datafestafrica2022 #datafam,datafam funaaab meetup ppl havent really conversation nice bang trust would choke,positive
1581010391349350400,2022-10-14 19:53:45,"So yeah, I met with @saltypip and @seyiflawless today at #DataFestAfrica22 #DFA22 and boy am I glad I did. 

I really want to know this Health x Data thingy and it's important to have those you look up to. I don de follow who know road o @datafestafrica thank you o ✌🏽😄 https://t.co/BIXAQ1f7MW https://t.co/T0v9BTCWfx",lugar secreto del altísimo,2,13,#datafestafrica22 #dfa22,yeah met boy glad really want know health thingy important look de follow know road thank,positive
1581010068832591872,2022-10-14 19:52:28,"We had so many interesting sessions today @DataFestAfrica. It was a great experience learning from people from different industries. 

#DATAFEST2022 #DataFestAfrica22 #thedatagirl https://t.co/wVzcXeZL8i",Ibadan Nigeria,0,2,#datafest2022 #datafestafrica22 #thedatagirl,many interesting sessions great experience people different industries thedatagirl,positive
1581009930483400704,2022-10-14 19:51:55,Tomorrow go choke @DataFestAfrica 🔥🔥🔥 #DFA22  #datafestafrica2022,Lagos Nigeria,0,0,#dfa22 #datafestafrica2022,tomorrow go choke,neutral
1581009656066977794,2022-10-14 19:50:50,"Dancing just before my session @DataFestAfrica @BolajiO_ 

If you attended my session, let me know when you start “querying your SQL DB with Power Automate cloud flows” I am here if you need help.
#datafestafrica #PowerApps https://t.co/FpYIWGlS1C",Lagos Nigeria,28,37,#datafestafrica #powerapps,dancing session attended session let know start querying db automate flows need help powerapps,neutral
1581008998027120640,2022-10-14 19:48:13,"I’m so glad I didn’t miss it. #DataFestAfrica22 was worth every second. There was just so much to learn and so many people to connect with. All the speakers were amazing. And I met the one and only @TheOyinbooke 😁. Thank you @DataFestAfrica 

Be purple 💜
#DFA22 https://t.co/v6NOhn5CxY",Lagos Nigeria,0,1,#datafestafrica22 #dfa22,glad didnt worth every second much learn many people connect speakers amazing met thank purple,positive
1581006674613370891,2022-10-14 19:38:59,"So as predicted I said a lot of ""nice to meet you"" today because it was really nice to meet a whole lot of data benders at this event. 
@DataFestAfrica please let's continue this event on Monday.
Day 1 was great 👍👍
#DFA22
#datafestafrica2022 https://t.co/SLAFS2BtMa",Ibadan Nigeria,0,1,#dfa22 #datafestafrica2022,predicted said lot nice meet really nice meet whole lot benders event please lets continue event great,positive
1581006235188723717,2022-10-14 19:37:14,"A big thank you to the organizers of @DataFestAfrica for this conference.

Learnt a whole lot during the workshops today. 

@YemorWale Thank you for an amazing session on Storytelling today. Gained much. 

#datafestafrica2022 https://t.co/gSvIeYzLME",No location,0,8,#datafestafrica2022,big thank organizers conference learnt whole lot workshops thank amazing session storytelling gained much,positive
1581005804735324160,2022-10-14 19:35:32,"Day 1 of @DataFestAfrica 
One of my favorite session for today was Contextual Thinking by @YemorWale. I learnt so much on how human touch is what makes the interpretation of data unique and Data isn't black and white https://t.co/jxkVF40qTg",Surulere lagos,2,10,,favorite session contextual thinking learnt much human touch makes interpretation unique isnt black white,positive
1581003773836554240,2022-10-14 19:27:27,Wonderful learning and networking experience at #datafestafrica2022 Kudos to the @DataFestAfrica @TheOyinbooke team.. https://t.co/wcSdMJ0Gfl,Lagos Nigeria,1,3,#datafestafrica2022,wonderful networking experience kudos team,positive
1581003092039909377,2022-10-14 19:24:45,"#datafestafrica2022 @DataFestAfrica Day 1 was a success, highly impressed by the organizers and the turnout was massive. Glad to meet new people. Tomorrow’s another day to come forth. 
#DFA22 #DataFest",Tech world,2,18,#datafestafrica2022 #dfa22 #datafest,success highly impressed organizers turnout massive glad meet new people tomorrows another come forth,positive
1581002779539099648,2022-10-14 19:23:30,"#datafestafrica2022 Day 1 ✅
I leant soo much today; can’t wait for tomorrow. Kudos, @DataFestAfrica https://t.co/yf0l8AIC9G",Lagos Nigeria,0,2,#datafestafrica2022,leant soo much cant wait tomorrow kudos,positive
1581002476727042048,2022-10-14 19:22:18,"Such an honor!!!🥰
@TheOyinbooke 
@Olabds @DataFestAfrica

#datafestafrica2022 
#DFA22 https://t.co/YZ8DZefNvN",No location,1,4,#datafestafrica2022 #dfa22,honor,neutral
1581001763871543296,2022-10-14 19:19:28,"Thank you @DataFestAfrica @DavidAbu_ @TheOyinbooke @Yinkaoke @TheDataEngrDuke
I got a mifi

@Vectour_mekie @MichaelEzeana
#DataFestAfrica22 #DF22 https://t.co/Y3fV0HvaMA",Lagos Nigeria,0,1,#datafestafrica22 #df22,thank got mifi mekie df,neutral
1580999122643210240,2022-10-14 19:08:59,"I won a MTN 4G mifi at today's event coursety of @DataFestAfrica, if you are still thinking  if the mifi give away is real, it is very real!!!

#DFA22 #datafestafrica2022 @saltypip @DavidAbu_ @TheOyinbooke @TheDataEngrDuke @Yinkaoke",Lagos,1,17,#dfa22 #datafestafrica2022,mtn mifi todays event coursety still thinking mifi give away real real,positive
1580997155850182657,2022-10-14 19:01:10,It was awesome networking with my tech bros and sis @dataFestAfrica Thanks @DavidAbu_ and team for putting this together. https://t.co/RXPgfRqH0d,Lagos Nigeria,0,0,,awesome networking tech bros sis thanks team putting together,positive
1580996995560673280,2022-10-14 19:00:31,"Day1 one of @DataFestAfrica done! All Glory to God the history have been made, the impacts are everlasting . #DataFestAfrica22 #DFA22. @DavidAbu_ @TheOyinbooke @Yinkaoke @saltypip",Lagos,0,4,#datafestafrica22 #dfa22,done glory god history made impacts everlasting,neutral
1580996665212735488,2022-10-14 18:59:13,"I don't think I am present @DataFestAfrica 😅
Join me tomorrow.
Kudos to the organising team and Volunteers #datafestafrica2022 🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌 https://t.co/AnunsCREvW",Ibadan Nigeria,4,30,#datafestafrica2022,dont think present join tomorrow kudos organising team volunteers,neutral
1580995437745405952,2022-10-14 18:54:20,"Was at the maiden DataFestAfrica today...and yes I suck at posing for pictures....
photo credit goes to @FutureTechBro

#datafestafrica2022 
#DATAFEST2022
#DFA22 https://t.co/6khdRdC361",probably in my room,1,8,#datafestafrica2022 #datafest2022 #dfa22,maiden todayand suck posing pictures photo credit goes dfa22,neutral
1580994325512859648,2022-10-14 18:49:55,"Had a wonderful day at #DataFestAfrica22 met with a whole lot of people it was nice meeting y'all 🤗
Looking forward to tomorrow's event 

If you find yourself in the pictures drop a comment 😃
@DavidAbu_ @DataFestAfrica #DFA22 https://t.co/4mkosYdrgr",Happy Land,2,18,#datafestafrica22 #dfa22,wonderful met whole lot people nice meeting yall looking forward tomorrows event find pictures drop comment,positive
1580993943311118336,2022-10-14 18:48:24,To my friends @DataFestAfrica https://t.co/mmemowUDLU,Lagos,0,0,,friends,neutral
1580991031625265153,2022-10-14 18:36:49,Very grateful for the opportunity to meet you and hear from you. Hopefully one day I will also get a chance to give a talk like you sir #DFA22 #DFA #DataFestAfrica22 #datafestafrica https://t.co/3KWhk12wVb,Lagos,0,2,#dfa22 #dfa #datafestafrica22 #datafestafrica,grateful opportunity meet hear hopefully also get chance give talk like sir,neutral
1580990868798181376,2022-10-14 18:36:11,Day one got me from frame one to frame 2 . Thank you to Everyone who showed up … @DataFestAfrica is made of best team in the world 🥳🥳🥳 #DataFestAfrica22 https://t.co/La6FwffEOD,No location,7,54,#datafestafrica22,got frame frame thank everyone showed made best team world,positive
1580987483847729152,2022-10-14 18:22:44,My partner @flora_oladipupo always on ground 😄. It's always nice meeting up with you. Thank you @datafestafrica for putting this together. We go again Tomorrow 😍#DFA22 #DataFestAfrica22 https://t.co/4FvlQPtmUC,No location,2,16,#dfa22 #datafestafrica22,partner oladipupo always ground always nice meeting thank putting together go tomorrow,positive
1580987242772037632,2022-10-14 18:21:46,"My week in summary 

Frame 1: Client meeting

Frame 2: Hux meetup, looking for funding for @zacraclearning

Frame 3: at #datafestafrica , love the energy, vibes, and community. I enjoyed all the sessions. @DataFestAfrica https://t.co/WrPTGitNiL",Akure Nigeria,2,16,#datafestafrica,week summary frame client meeting frame hux meetup looking funding frame love energy vibes community enjoyed sessions,positive
1580986124553449473,2022-10-14 18:17:20,"There is no how you will attend @DataFestAfrica and you won't network.
Beautiful faces @kachiengineers @flora_oladipupo @Mariam_nife @favourDgreat0 #DFA22 #DataFestAfrica22 #datafestafrica https://t.co/OSlqzhrR4n",No location,4,22,#dfa22 #datafestafrica22 #datafestafrica,attend wont network beautiful faces oladipupo nife,positive
1580985496733261824,2022-10-14 18:14:50,"Thank you @DavidAbu_ for the power bi shirt, @Sterling_Bankng , @paystack and @datafestafrica for the mifi and stickers 💜
Ngl #DFA22 is the most exciting tech conference I've gone for.I met so many people,learnt so much, had fun and ate party jollof and meat all at the same time https://t.co/rp8EqMik05 https://t.co/qehXZHpPDG",Lagos Nigeria,3,67,#dfa22,thank shirt bankng mifi stickers ngl exciting tech conference gone fori met many peoplelearnt much fun ate party jollof meat time,positive
1580983586244554754,2022-10-14 18:07:14,"Day 1 of DataFestAfrica with @emm_aguila top data guy🙌🏽.
We move again tomorrow. So excited for this tech journey
@DataFestAfrica
#DataFestAfrica22 #datafestafrica https://t.co/v0AscvO8lu",Lagos,1,13,#datafestafrica22 #datafestafrica,aguila top guy move tomorrow excited tech journey,positive
1580981498857259008,2022-10-14 17:58:57,"I just got home exhausted from @DataFestAfrica, but I'm happy

#DF22",No location,4,3,#df22,got home exhausted happy df,positive
1580980518799446016,2022-10-14 17:55:03,"Today was great!!!
#DataFestAfrica22 #datafestafrica https://t.co/SgkY8Ba3eH",Lagos Nigeria,9,41,#datafestafrica22 #datafestafrica,great,positive
1580979643422605314,2022-10-14 17:51:34,"It was nice to meet some members of #DLconversations  at the ongoing DataFestAfrica.
@Praiz_Imo  @Toyin_Jesusbaby @Abioye_bolu1501 https://t.co/25p03hP4tJ",Ibadan Nigeria,1,25,#dlconversations,nice meet members dlconversations ongoing imo jesusbaby bolu,positive
1580979130887442439,2022-10-14 17:49:32,"Day 1 at #DataFestAfrica22 was all shades of amazing!💃🏻😍 I learnt a lot from every session I participated in! Met amazing people 💥😁🤗  Can’t wait for Day 2! Let’s learn more! Let’s connect more! 💥🤝
@DataFestAfrica #DFA22 https://t.co/zRmH4vOEYw",In your mind ,2,8,#datafestafrica22 #dfa22,shades amazing learnt lot every session participated met amazing people ’ wait let ’ learn let ’ connect,positive
1580978094118035457,2022-10-14 17:45:25,workshop on containerization of ML apps was 🔥 @DataFestAfrica https://t.co/qqye4A5DC6,Lagos Nigeria,0,2,,workshop containerization apps,neutral
1580977860864774144,2022-10-14 17:44:29,"Lagos Data people, please come and gist us about @DataFestAfrica 😭😭😭

#DataFest22 #datafestafrica #DFA22 #DatafestAfrica #DataFestAfrica22",Nigeria,0,2,#datafest22 #datafestafrica #dfa22 #datafestafrica #datafestafrica22,people please come gist,neutral
1580977431627776000,2022-10-14 17:42:47,"My #DataFestAfrica2022 experience

@datafestafrica thank you for this awesome and insightful event.

So you guys pick your pics, and if we meet and we no snap, kindly let do tomorrow.

Thank you 😊",Space,1,15,#datafestafrica2022,experience thank awesome insightful event guys pick pics meet snap kindly let tomorrow thank,positive
1580977041637511169,2022-10-14 17:41:14,"Today, I had the pleasure of speaking at DataFestAfrica 2022 where I shared my thoughts on the topic 'Beyond Cutting Edge Analytics: Changing the culture of data-driven decision-making'.

I had an awesome time and it was great connecting with many data pr…https://t.co/hQvWxDKQAJ",Lagos,0,0,,pleasure speaking shared thoughts topic beyond cutting edge analytics changing culture datadriven decisionmaking awesome time great connecting many pr,positive
1580974054827503616,2022-10-14 17:29:22,"It is only in #datafestafrica #DFA22 #DataFestAfrica22 that u have standard lunch n still got takeaway to go home with 
@DavidAbu_ @DataFestAfrica are the kings ❤🔥",Lagos Nigeria,0,3,#datafestafrica #dfa22 #datafestafrica22,standard lunch still got takeaway go home kings,neutral
1580972166375276545,2022-10-14 17:21:52,"#datafestafrica today was awesome!!!
I enjoyed amazing sessions all through!
The likes of @dbrownAnalyst @AbbyViz @Adewaleanalyst to name a few!!!! 😍😍😍
I'm so excited for what @DataFestAfrica has in store for us tomorrow 💃
#DataFest22 #DAF22",No location,1,9,#datafestafrica #datafest22 #daf22,awesome enjoyed amazing sessions likes name 'm excited store tomorrow daf,positive
1580971891300265985,2022-10-14 17:20:46,"Seeing #datafestafrica on my TL. Tension 😭 

We move, next year",Ibadan  Nigeria ,0,0,#datafestafrica,seeing tl tension move year,neutral
1580969384817750018,2022-10-14 17:10:48,"Day 1 of #datafestafrica was awesome with the amazing speakers during the panel sessions🔥. I also love the head to head moment with the Data Engineers😄
 Day 2 hopefully will be great ✌️ Thank you @DataFestAfrica @DavidAbu_ @TheOyinbooke https://t.co/uVsv2strm6",Nigeria,0,2,#datafestafrica,awesome amazing speakers panel sessions also love head head moment engineers hopefully great thank,positive
1580968846298476548,2022-10-14 17:08:40,"Meeting people I really admire on this app in person has been a wonderful experience. 

Thank you so much @DataFestAfrica 
#datafestafrica",Peter Obis Nigeria,3,10,#datafestafrica,meeting people really admire app person wonderful experience thank much,positive
1580968622612418560,2022-10-14 17:07:47,"I was motivated, I was challenged and I got every reasons to remain focused, if I'm playing a long time game in data industry.
@DataFestAfrica was a mindshift. https://t.co/wxmqaYg0bH",No location,2,26,,motivated challenged got every reasons remain focused playing long time game industry mindshift,negative
1580968430739419147,2022-10-14 17:07:01,"Datafest was an amazing experience, gained lot of stuffs. Thank you @DataFestAfrica #DFA22 #datafestafrica",No location,0,1,#dfa22 #datafestafrica,amazing experience gained lot stuffs thank,positive
1580961324644696064,2022-10-14 16:38:47,Data guys are awesome and cool 😍😍😍 tomorrow we go again 💪 #datafestafrica,Lagos,1,15,#datafestafrica,guys awesome cool tomorrow go,positive
1580960439285841926,2022-10-14 16:35:16,"Python is the best thing after Slice of Bread 😂😂
#datafestafrica #DFA22 #DataFestAfrica22",Lagos Nigeria,3,8,#datafestafrica #dfa22 #datafestafrica22,best thing slice bread,positive
1580958563815813122,2022-10-14 16:27:49,Today at @DataFestAfrica was a blast and I met a lot of people and had fun.. we even got lunch which was unexpected. Great work @DavidAbu_ and the sponsors and team. @efontree great food too😋. Shout out to all the panelist and speakers.. I learnt a lot.😊#datafestafrica2022 https://t.co/WBjYOBAUa9,Heaven,0,1,#datafestafrica2022,blast met lot people fun even got lunch unexpected great work sponsors team great food shout panelist speakers learnt lot.datafestafrica,positive
1580958339315269632,2022-10-14 16:26:55,"It was a great pleasure to take the workshop on containerization of ML apps. If you have questions related to the workshop or topic, you can DM me. Let’s keep pushing to production🚀 #datafestafrica #DataFest22 #DFA22 https://t.co/a218F260es",,7,39,#datafestafrica #datafest22 #dfa22,great pleasure take workshop containerization apps questions related workshop topic dm lets keep pushing production,positive
1580958245069676544,2022-10-14 16:26:33,"WoW!!!Baba is in town! the Generalisimo and Grandfather of the Africa AI and data ecosystem has landed for tomorrow's 
@DataFestAfrica
 . We will all be there LIVE. Got my ticket. Don't miss it. https://t.co/ftim2BYiNS",lashi,2,4,,wowbaba town generalisimo grandfather africa ai ecosystem landed tomorrows live got ticket n't,positive
1580956143299354624,2022-10-14 16:18:11,"Join me tomorrow at the ongoing @DataFestAfrica holding at @UnilagNigeria.

I will lead a keynote on “Building African Data Ecosystem”

Join online. Details at https://t.co/uu2MBXscO8

15th Oct 2022 at 9am (GMT + 1)

Let’s build more data/AI talents! #datafestafrica #DataFest22 https://t.co/eEQLSlPRVL",Lagos Nigeria,18,62,#datafestafrica #datafest22,join tomorrow ongoing holding lead keynote building african ecosystem join online details th oct 9am gmt 1 lets build data/ai talents datafest22,neutral
1580952835335680006,2022-10-14 16:05:03,"From the registration/sign-in point to every session, lunch, breakout session, panel session, it's been totally amazing. Really glad I made it here!
It's all about #DataFest22 
#DFA22 
@DataFestAfrica 
@DavidAbu_ 
@TheOyinbooke https://t.co/rWokDBEWib",Lagos Nigeria,0,2,#datafest22 #dfa22,registrationsignin point every session lunch breakout session panel session totally amazing really glad made,positive
1580952525569593345,2022-10-14 16:03:49,"My tired face at the end of Day 1.

#DataFestAfrica22
@DataFestAfrica
@TheDataEngrDuke
@Yinkaoke https://t.co/fgRJHmwGLA",Lagos Nigeria,0,12,#datafestafrica22,tired face end,negative
1580950454154199042,2022-10-14 15:55:35,"Nice to meet @FrankFelixAI 
At @DataFestAfrica 
#datafestafrica2022 
#DFA22 https://t.co/jhjgWiS72M",Ibadan Nigeria,3,18,#datafestafrica2022 #dfa22,nice meet,positive
1580950261878906880,2022-10-14 15:54:49,"Look for what keeps your customer awake at Night. If your initiative solves my problem, I will push it.

@Yinkaoke on driving user adoption of data solutions.

#DataFestAfrica22
@DataFestAfrica
@TheDataEngrDuke
@Yinkaoke",Lagos Nigeria,0,2,#datafestafrica22,look keeps customer awake night initiative solves problem push driving user adoption solutions,neutral
1580950134619185153,2022-10-14 15:54:19,The first day of @DataFestAfrica  festival was amazing🤩. Our team was happy to engage with participants at our booth &amp; within the halls. Amazing conversations were had &amp; amazing founders met. We can’t wait for tomorrow💃🏼.  Come through guys. Tweet at us too. #datafestafrica2022,Lagos Nigeria,0,0,#datafestafrica2022,first festival amazing team happy engage participants booth amp within halls amazing conversations amp amazing founders met cant wait tomorrow come guys tweet,positive
1580949947096403972,2022-10-14 15:53:34,Wonderful learning and networking experience at #datafestafrica2022 Kudos to the @DataFestAfrica team.. https://t.co/HR5SHp76yc,Nigeria,1,12,#datafestafrica2022,wonderful networking experience kudos team,positive
1580949902711922688,2022-10-14 15:53:24,"It was really a great time seeing everyone today @DavidAbu_ @TheOyinbooke @Adewaleanalyst @dbrownAnalyst. This is my call to Microsoft tweet @DataFestAfrica 

#datafestafrica2022 #DFA22 Tomorrow we go again https://t.co/18ANdJWZNQ",Database,7,50,#datafestafrica2022 #dfa22,really great time seeing everyone call microsoft tweet tomorrow go,positive
1580949885746315266,2022-10-14 15:53:20,"Nice time at Datafest today😅🍻
 @abdulsamodazeez @Deh_yor #DFA22 @DataFestAfrica https://t.co/FVxx5wuDiP",Lagos Nigeria,7,48,#dfa22,nice time yor,positive
1580949645152292871,2022-10-14 15:52:22,Tech bro @pfemis and sis🥰🥰🥰 @DataFestAfrica  #DFA22 #datafestafrica2022 this datafest merch will be cool for couple poses o😋😋 https://t.co/2sBFYDcgbo,Lagos,0,5,#dfa22 #datafestafrica2022,tech bro sis merch cool couple poses,positive
1580948992929603585,2022-10-14 15:49:47,Find me @DataFestAfrica #DataFest22 #datafestafrica2022 https://t.co/eXcrEdmef0,OAU,0,1,#datafest22 #datafestafrica2022,find,neutral
1580947640946040837,2022-10-14 15:44:24,"You can start and finish with Python - Paschal Amah.

#DataFestAfrica22
@DataFestAfrica
@TheDataEngrDuke
@Yinkaoke",Lagos Nigeria,1,3,#datafestafrica22,start finish paschal amah,neutral
1580947376575242240,2022-10-14 15:43:21,"The person that Listens gets driven solutions - Paschal

Get Data Champions/Citizens to drive usage of Data solutions. Create Office hours to show everyone your data solutions.
Daniel Asoegwu

#DataFestAfrica22
@DataFestAfrica
@TheDataEngrDuke
@Yinkaoke",Lagos Nigeria,0,3,#datafestafrica22,person listens gets driven solutions paschal get championscitizens drive usage solutions create office hours show everyone solutions daniel asoegwu,neutral
1580946481963728896,2022-10-14 15:39:48,"Panel session 2 focusing on startups is LIVE.

https://t.co/HnK5swzLrg

#DFA22 #DataFestAfrica22",Africa ,8,26,#dfa22 #datafestafrica22,panel session focusing startups live,positive
1580946357358977026,2022-10-14 15:39:18,"Data analysis is beyond the data, you have to use your brain too, think analytically. @YemorWale session was one of my best! @DataFestAfrica #datafestafrica2022 #DFA22",Lagos Nigeria,1,5,#datafestafrica2022 #dfa22,analysis beyond use brain think analytically session best,positive
1580946238618275841,2022-10-14 15:38:50,#datafestafrica love the vibes and energy. https://t.co/Jddb0lFDmd,Akure Nigeria,1,1,#datafestafrica,love vibes energy,positive
1580944979815383041,2022-10-14 15:33:50,"Find a business case and proffer solutions
Paschal Amah

@DataFestAfrica #datafestafrica22",Lagos Nigeria,0,0,#datafestafrica22,find business case proffer solutions paschal amah,neutral
1580944073661169670,2022-10-14 15:30:14,"Conceptual thinking class is very insightful 🔥🔥
Please can you help me tag the speaker if you know him?
@DataFestAfrica
#DataFestAfrica22",Lagos Nigeria,1,16,#datafestafrica22,conceptual thinking class insightful please help tag speaker know,neutral
1580943359668932608,2022-10-14 15:27:24,"Information overload😎

#DFA22 #datafestafrica #datafestafrica2022 https://t.co/WzwI6vttYA",No location,3,7,#dfa22 #datafestafrica #datafestafrica2022,information overload,neutral
1580942560691773440,2022-10-14 15:24:13,"So if you’re still around for #datafestafrica and interested in a small unofficial conversation around AI and healthcare, we can just meet up outside, just by the side of the hall around 5pm for it. https://t.co/PruIrssHSM",Earth X,2,6,#datafestafrica,youre still around interested small unofficial conversation around ai healthcare meet outside side around pm,neutral
1580941753427038209,2022-10-14 15:21:01,"Live at the event
DataFestAfrica 2022
#datafestafrica22",No location,0,2,#datafestafrica22,live event,positive
1580938517466578945,2022-10-14 15:08:09,"The wheel is being reinvented, If you dont move along, you'll be left behind
                       - Mabel Obadoni
#datafestafrica 
#datafestafrica2022 
#DataFest",Nigeria,0,2,#datafestafrica #datafestafrica2022 #datafest,wheel reinvented dont move along youll left behind mabel obadoni,negative
1580938292396462080,2022-10-14 15:07:15,Datafest is for networking and showing people your twitter account so that they remember you 🤣🤣🤣 #datafestafrica #datafestafrica2022,Lagos Nigeria,0,7,#datafestafrica #datafestafrica2022,networking showing people twitter account remember,neutral
